;conc;compound;cbkid;site;plateWell;Count_nuclei;ObjectNumber_cells
41;0.1;Encora;Encorafenib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;193.0;74.0
42;1.0;Temozo;Temozolomide;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;207.0;89.0
43;1.0;Temozo;Temozolomide;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;169.0;59.5
44;1.0;Temozo;Temozolomide;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;224.0;88.0
45;1.0;Temozo;Temozolomide;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;104.0;37.5
46;1.0;Temozo;Temozolomide;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;114.0;39.5
47;1.0;Temozo;Temozolomide;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;195.0;80.0
48;1.0;Temozo;Temozolomide;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;158.0;55.5
49;1.0;Temozo;Temozolomide;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;105.0;40.0
50;1.0;Temozo;Temozolomide;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B08;148.0;51.0
51;0.0333;PI-103;PI-103;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;177.0;53.0
52;0.0333;PI-103;PI-103;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;104.0;37.5
53;0.0333;PI-103;PI-103;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;187.0;81.5
54;0.0333;PI-103;PI-103;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;172.0;57.5
55;0.0333;PI-103;PI-103;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;76.0;39.5
56;0.0333;PI-103;PI-103;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;256.0;111.0
57;0.0333;PI-103;PI-103;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;213.0;70.0
58;0.0333;PI-103;PI-103;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B09;107.0;38.5
59;1.0;PD0325;PD0325901 (Mirdametinib);1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;128.0;35.0
60;1.0;PD0325;PD0325901 (Mirdametinib);2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;111.0;49.5
61;1.0;PD0325;PD0325901 (Mirdametinib);3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;109.0;29.0
62;1.0;PD0325;PD0325901 (Mirdametinib);4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;149.0;54.5
63;1.0;PD0325;PD0325901 (Mirdametinib);5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;86.0;25.0
64;1.0;PD0325;PD0325901 (Mirdametinib);6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;140.0;55.0
65;1.0;PD0325;PD0325901 (Mirdametinib);7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;194.0;79.0
66;1.0;PD0325;PD0325901 (Mirdametinib);8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;86.0;32.0
67;1.0;PD0325;PD0325901 (Mirdametinib);9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B10;124.0;45.0
68;0.1;SN-38;SN-38;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;148.0;58.0
69;0.1;SN-38;SN-38;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;89.0;31.0
70;0.1;SN-38;SN-38;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;87.0;32.5
71;0.1;SN-38;SN-38;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;149.0;54.0
72;0.1;SN-38;SN-38;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;159.0;77.0
73;0.1;SN-38;SN-38;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;152.0;79.5
74;0.1;SN-38;SN-38;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;138.0;37.0
75;0.1;SN-38;SN-38;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B11;101.0;45.5
76;0.333;triflu;trifluridine;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;200.0;85.0
77;0.333;triflu;trifluridine;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;91.0;29.5
78;0.333;triflu;trifluridine;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;170.0;60.0
79;0.333;triflu;trifluridine;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;187.0;64.0
80;0.333;triflu;trifluridine;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;164.0;42.0
81;0.333;triflu;trifluridine;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;128.0;56.0
82;0.333;triflu;trifluridine;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;158.0;57.0
83;0.333;triflu;trifluridine;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;124.0;46.0
84;0.333;triflu;trifluridine;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B12;78.0;23.0
85;0.1;Sapiti;Sapitinib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;67.0;21.0
86;0.1;Sapiti;Sapitinib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;113.0;48.0
87;0.1;Sapiti;Sapitinib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;170.0;67.5
88;0.1;Sapiti;Sapitinib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;95.0;36.0
89;0.1;Sapiti;Sapitinib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;114.0;36.0
90;0.1;Sapiti;Sapitinib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;127.0;53.5
91;0.1;Sapiti;Sapitinib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;204.0;72.0
92;0.1;Sapiti;Sapitinib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;169.0;61.0
93;0.1;Sapiti;Sapitinib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B13;62.0;22.0
94;0.0333;cobime;cobimetinib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;168.0;57.0
95;0.0333;cobime;cobimetinib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;138.0;47.0
96;0.0333;cobime;cobimetinib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;68.0;29.0
97;0.0333;cobime;cobimetinib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;189.0;74.0
98;0.0333;cobime;cobimetinib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;163.0;61.0
99;0.0333;cobime;cobimetinib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;139.0;66.0
100;0.0333;cobime;cobimetinib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;208.0;76.0
101;0.0333;cobime;cobimetinib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;161.0;71.5
102;0.0333;cobime;cobimetinib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B14;125.0;33.0
103;0.00833;5Z-7-O;5Z-7-Oxozeaenol;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;238.0;99.0
104;0.00833;5Z-7-O;5Z-7-Oxozeaenol;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;153.0;55.5
105;0.00833;5Z-7-O;5Z-7-Oxozeaenol;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;210.0;88.0
106;0.00833;5Z-7-O;5Z-7-Oxozeaenol;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;251.0;78.0
107;0.00833;5Z-7-O;5Z-7-Oxozeaenol;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;211.0;80.0
108;0.00833;5Z-7-O;5Z-7-Oxozeaenol;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;163.0;54.0
109;0.00833;5Z-7-O;5Z-7-Oxozeaenol;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;259.0;84.0
110;0.00833;5Z-7-O;5Z-7-Oxozeaenol;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;206.0;86.0
111;0.00833;5Z-7-O;5Z-7-Oxozeaenol;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B15;132.0;48.0
112;1.0;Encora;Encorafenib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;246.0;97.0
113;1.0;Encora;Encorafenib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;142.0;68.0
114;1.0;Encora;Encorafenib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;303.0;104.0
115;1.0;Encora;Encorafenib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;192.0;75.0
116;1.0;Encora;Encorafenib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;64.0;27.5
117;1.0;Encora;Encorafenib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;168.0;63.5
118;1.0;Encora;Encorafenib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;95.0;29.0
119;1.0;Encora;Encorafenib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B16;61.0;19.5
120;0.00833;Paclit;Paclitaxel;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;144.0;49.0
121;0.00833;Paclit;Paclitaxel;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;110.0;56.0
122;0.00833;Paclit;Paclitaxel;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;139.0;46.0
123;0.00833;Paclit;Paclitaxel;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;86.0;29.0
124;0.00833;Paclit;Paclitaxel;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;135.0;44.0
125;0.00833;Paclit;Paclitaxel;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;214.0;80.0
126;0.00833;Paclit;Paclitaxel;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;162.0;54.0
127;0.00833;Paclit;Paclitaxel;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B17;80.0;24.0
128;10.0;regora;regorafenib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;136.0;56.0
129;10.0;regora;regorafenib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;137.0;47.5
130;10.0;regora;regorafenib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;128.0;47.0
131;10.0;regora;regorafenib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;125.0;40.0
132;10.0;regora;regorafenib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;87.0;31.5
133;10.0;regora;regorafenib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;108.0;39.5
134;10.0;regora;regorafenib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;173.0;53.5
135;10.0;regora;regorafenib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B18;138.0;62.0
136;0.00833;Olapar;Olaparib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;120.0;39.0
137;0.00833;Olapar;Olaparib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;185.0;80.0
138;0.00833;Olapar;Olaparib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;147.0;55.0
139;0.00833;Olapar;Olaparib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;188.0;78.0
140;0.00833;Olapar;Olaparib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;148.0;57.5
141;0.00833;Olapar;Olaparib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;192.0;63.0
142;0.00833;Olapar;Olaparib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;192.0;71.5
143;0.00833;Olapar;Olaparib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;246.0;69.0
144;0.00833;Olapar;Olaparib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B19;110.0;45.5
145;1.0;Oxalip;Oxaliplatin;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;110.0;33.0
146;1.0;Oxalip;Oxaliplatin;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;131.0;48.5
147;1.0;Oxalip;Oxaliplatin;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;153.0;69.0
148;1.0;Oxalip;Oxaliplatin;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;99.0;34.0
149;1.0;Oxalip;Oxaliplatin;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;135.0;62.0
150;1.0;Oxalip;Oxaliplatin;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;71.0;26.0
151;1.0;Oxalip;Oxaliplatin;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;95.0;31.5
152;1.0;Oxalip;Oxaliplatin;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;89.0;48.5
153;1.0;Oxalip;Oxaliplatin;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B20;111.0;51.0
154;0.1;PD0325;PD0325901 (Mirdametinib);1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;81.0;49.5
155;0.1;PD0325;PD0325901 (Mirdametinib);2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;107.0;44.0
156;0.1;PD0325;PD0325901 (Mirdametinib);3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;112.0;35.5
157;0.1;PD0325;PD0325901 (Mirdametinib);4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;73.0;24.0
158;0.1;PD0325;PD0325901 (Mirdametinib);5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;164.0;64.0
159;0.1;PD0325;PD0325901 (Mirdametinib);6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;127.0;42.0
160;0.1;PD0325;PD0325901 (Mirdametinib);7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;159.0;55.5
161;0.1;PD0325;PD0325901 (Mirdametinib);8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;98.0;36.0
162;0.1;PD0325;PD0325901 (Mirdametinib);9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B21;79.0;29.5
163;0.333;Palboc;Palbociclib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;114.0;39.0
164;0.333;Palboc;Palbociclib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;147.0;56.0
165;0.333;Palboc;Palbociclib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;113.0;55.5
166;0.333;Palboc;Palbociclib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;183.0;72.0
167;0.333;Palboc;Palbociclib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;102.0;35.5
168;0.333;Palboc;Palbociclib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;60.0;20.0
169;0.333;Palboc;Palbociclib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;215.0;90.0
170;0.333;Palboc;Palbociclib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;119.0;43.0
171;0.333;Palboc;Palbociclib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B22;74.0;31.0
172;0.1;[dmso];[dmso];1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;206.0;79.5
173;0.1;[dmso];[dmso];2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;213.0;75.0
174;0.1;[dmso];[dmso];3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;245.0;81.0
175;0.1;[dmso];[dmso];4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;148.0;59.0
176;0.1;[dmso];[dmso];5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;152.0;45.0
177;0.1;[dmso];[dmso];6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;159.0;66.0
178;0.1;[dmso];[dmso];7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;275.0;121.0
179;0.1;[dmso];[dmso];8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;147.0;57.0
180;0.1;[dmso];[dmso];9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;87.0;28.5
181;0.333;Afatin;Afatinib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;69.0;26.0
182;0.333;Afatin;Afatinib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;152.0;57.0
183;0.333;Afatin;Afatinib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;76.0;25.5
184;0.333;Afatin;Afatinib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;44.0;16.0
185;0.333;Afatin;Afatinib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;62.0;30.0
186;0.333;Afatin;Afatinib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;69.0;27.0
187;0.333;Afatin;Afatinib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;86.0;37.0
188;0.333;Afatin;Afatinib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C02;93.0;26.0
189;0.333;Paclit;Paclitaxel;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;93.0;30.0
190;0.333;Paclit;Paclitaxel;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;78.0;23.0
191;0.333;Paclit;Paclitaxel;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;103.0;31.0
192;0.333;Paclit;Paclitaxel;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;94.0;32.0
193;0.333;Paclit;Paclitaxel;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;69.0;25.0
194;0.333;Paclit;Paclitaxel;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;72.0;36.0
195;0.333;Paclit;Paclitaxel;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;61.0;24.0
196;0.333;Paclit;Paclitaxel;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C03;68.0;23.5
197;10.0;cobime;cobimetinib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;124.0;47.0
198;10.0;cobime;cobimetinib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;155.0;57.0
199;10.0;cobime;cobimetinib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;102.0;29.0
200;10.0;cobime;cobimetinib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;73.0;27.0
201;10.0;cobime;cobimetinib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;109.0;32.0
202;10.0;cobime;cobimetinib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;103.0;39.0
203;10.0;cobime;cobimetinib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;24.0;6.5
204;10.0;cobime;cobimetinib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;31.0;4.0
205;10.0;cobime;cobimetinib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C04;72.0;24.0
206;0.1;5Z-7-O;5Z-7-Oxozeaenol;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;175.0;73.0
207;0.1;5Z-7-O;5Z-7-Oxozeaenol;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;239.0;105.0
208;0.1;5Z-7-O;5Z-7-Oxozeaenol;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;305.0;107.5
209;0.1;5Z-7-O;5Z-7-Oxozeaenol;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;119.0;54.0
210;0.1;5Z-7-O;5Z-7-Oxozeaenol;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;128.0;63.0
211;0.1;5Z-7-O;5Z-7-Oxozeaenol;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;199.0;71.5
212;0.1;5Z-7-O;5Z-7-Oxozeaenol;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;61.0;18.5
213;0.1;5Z-7-O;5Z-7-Oxozeaenol;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;109.0;30.5
214;0.1;5Z-7-O;5Z-7-Oxozeaenol;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C05;145.0;54.5
215;0.0333;alpeli;alpelisib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;112.0;52.0
216;0.0333;alpeli;alpelisib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;144.0;57.0
217;0.0333;alpeli;alpelisib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;283.0;113.0
218;0.0333;alpeli;alpelisib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;137.0;59.0
219;0.0333;alpeli;alpelisib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;189.0;55.0
220;0.0333;alpeli;alpelisib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;200.0;71.5
221;0.0333;alpeli;alpelisib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;126.0;33.0
222;0.0333;alpeli;alpelisib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;51.0;17.5
223;0.0333;alpeli;alpelisib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C06;191.0;82.5
224;0.1;[dmso];[dmso];1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;136.0;52.0
225;0.1;[dmso];[dmso];2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;152.0;58.0
226;0.1;[dmso];[dmso];3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;245.0;119.0
227;0.1;[dmso];[dmso];4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;183.0;74.0
228;0.1;[dmso];[dmso];5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;162.0;56.5
229;0.1;[dmso];[dmso];6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;279.0;121.0
230;0.1;[dmso];[dmso];7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;75.0;22.5
231;0.1;[dmso];[dmso];8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_C07;124.0;48.5
