Files	barcode	Annotation Type	compartment	well_id	z_plane	channel	source image
results/PB000137/segmentation/cell_segmented_B04_11.npy	PB000137	Segmentation masks	cell	B04	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_12.npy	PB000137	Segmentation masks	cell	B04	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_13.npy	PB000137	Segmentation masks	cell	B04	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_14.npy	PB000137	Segmentation masks	cell	B04	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_15.npy	PB000137	Segmentation masks	cell	B04	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_2.npy	PB000137	Segmentation masks	cell	B04	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_3.npy	PB000137	Segmentation masks	cell	B04	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_4.npy	PB000137	Segmentation masks	cell	B04	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_5.npy	PB000137	Segmentation masks	cell	B04	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_6.npy	PB000137	Segmentation masks	cell	B04	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_7.npy	PB000137	Segmentation masks	cell	B04	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_8.npy	PB000137	Segmentation masks	cell	B04	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_9.npy	PB000137	Segmentation masks	cell	B04	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_0.npy	PB000137	Segmentation masks	cell	B05	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_1.npy	PB000137	Segmentation masks	cell	B05	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_10.npy	PB000137	Segmentation masks	cell	B05	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_11.npy	PB000137	Segmentation masks	cell	B05	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_12.npy	PB000137	Segmentation masks	cell	B05	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_13.npy	PB000137	Segmentation masks	cell	B05	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_14.npy	PB000137	Segmentation masks	cell	B05	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_15.npy	PB000137	Segmentation masks	cell	B05	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_2.npy	PB000137	Segmentation masks	cell	B05	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_3.npy	PB000137	Segmentation masks	cell	B05	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_4.npy	PB000137	Segmentation masks	cell	B05	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_5.npy	PB000137	Segmentation masks	cell	B05	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_6.npy	PB000137	Segmentation masks	cell	B05	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_7.npy	PB000137	Segmentation masks	cell	B05	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_8.npy	PB000137	Segmentation masks	cell	B05	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B05_9.npy	PB000137	Segmentation masks	cell	B05	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B05-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_0.npy	PB000137	Segmentation masks	cell	B06	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_1.npy	PB000137	Segmentation masks	cell	B06	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_10.npy	PB000137	Segmentation masks	cell	B06	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_11.npy	PB000137	Segmentation masks	cell	B06	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_12.npy	PB000137	Segmentation masks	cell	B06	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_13.npy	PB000137	Segmentation masks	cell	B06	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_14.npy	PB000137	Segmentation masks	cell	B06	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_15.npy	PB000137	Segmentation masks	cell	B06	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_2.npy	PB000137	Segmentation masks	cell	B06	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_3.npy	PB000137	Segmentation masks	cell	B06	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_4.npy	PB000137	Segmentation masks	cell	B06	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_5.npy	PB000137	Segmentation masks	cell	B06	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_6.npy	PB000137	Segmentation masks	cell	B06	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_7.npy	PB000137	Segmentation masks	cell	B06	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_8.npy	PB000137	Segmentation masks	cell	B06	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B06_9.npy	PB000137	Segmentation masks	cell	B06	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B06-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_0.npy	PB000137	Segmentation masks	cell	B08	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_1.npy	PB000137	Segmentation masks	cell	B08	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_10.npy	PB000137	Segmentation masks	cell	B08	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_11.npy	PB000137	Segmentation masks	cell	B08	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_12.npy	PB000137	Segmentation masks	cell	B08	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_13.npy	PB000137	Segmentation masks	cell	B08	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_14.npy	PB000137	Segmentation masks	cell	B08	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_15.npy	PB000137	Segmentation masks	cell	B08	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_2.npy	PB000137	Segmentation masks	cell	B08	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_3.npy	PB000137	Segmentation masks	cell	B08	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_4.npy	PB000137	Segmentation masks	cell	B08	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_5.npy	PB000137	Segmentation masks	cell	B08	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_6.npy	PB000137	Segmentation masks	cell	B08	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_7.npy	PB000137	Segmentation masks	cell	B08	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_8.npy	PB000137	Segmentation masks	cell	B08	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B08_9.npy	PB000137	Segmentation masks	cell	B08	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B08-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_0.npy	PB000137	Segmentation masks	cell	B09	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_1.npy	PB000137	Segmentation masks	cell	B09	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_10.npy	PB000137	Segmentation masks	cell	B09	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_11.npy	PB000137	Segmentation masks	cell	B09	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_12.npy	PB000137	Segmentation masks	cell	B09	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_13.npy	PB000137	Segmentation masks	cell	B09	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_14.npy	PB000137	Segmentation masks	cell	B09	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_15.npy	PB000137	Segmentation masks	cell	B09	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_2.npy	PB000137	Segmentation masks	cell	B09	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_3.npy	PB000137	Segmentation masks	cell	B09	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_4.npy	PB000137	Segmentation masks	cell	B09	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_5.npy	PB000137	Segmentation masks	cell	B09	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_6.npy	PB000137	Segmentation masks	cell	B09	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_7.npy	PB000137	Segmentation masks	cell	B09	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_8.npy	PB000137	Segmentation masks	cell	B09	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B09_9.npy	PB000137	Segmentation masks	cell	B09	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B09-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_0.npy	PB000137	Segmentation masks	cell	B10	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_1.npy	PB000137	Segmentation masks	cell	B10	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_10.npy	PB000137	Segmentation masks	cell	B10	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_11.npy	PB000137	Segmentation masks	cell	B10	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_12.npy	PB000137	Segmentation masks	cell	B10	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_13.npy	PB000137	Segmentation masks	cell	B10	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_14.npy	PB000137	Segmentation masks	cell	B10	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_15.npy	PB000137	Segmentation masks	cell	B10	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_2.npy	PB000137	Segmentation masks	cell	B10	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_3.npy	PB000137	Segmentation masks	cell	B10	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_4.npy	PB000137	Segmentation masks	cell	B10	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_5.npy	PB000137	Segmentation masks	cell	B10	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_6.npy	PB000137	Segmentation masks	cell	B10	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_7.npy	PB000137	Segmentation masks	cell	B10	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_8.npy	PB000137	Segmentation masks	cell	B10	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B10_9.npy	PB000137	Segmentation masks	cell	B10	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B10-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_0.npy	PB000137	Segmentation masks	cell	B11	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_1.npy	PB000137	Segmentation masks	cell	B11	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_10.npy	PB000137	Segmentation masks	cell	B11	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_11.npy	PB000137	Segmentation masks	cell	B11	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_12.npy	PB000137	Segmentation masks	cell	B11	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_13.npy	PB000137	Segmentation masks	cell	B11	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_14.npy	PB000137	Segmentation masks	cell	B11	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_15.npy	PB000137	Segmentation masks	cell	B11	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_2.npy	PB000137	Segmentation masks	cell	B11	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_3.npy	PB000137	Segmentation masks	cell	B11	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_4.npy	PB000137	Segmentation masks	cell	B11	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_5.npy	PB000137	Segmentation masks	cell	B11	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_6.npy	PB000137	Segmentation masks	cell	B11	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_7.npy	PB000137	Segmentation masks	cell	B11	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_8.npy	PB000137	Segmentation masks	cell	B11	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B11_9.npy	PB000137	Segmentation masks	cell	B11	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B11-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B12_0.npy	PB000137	Segmentation masks	cell	B12	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B12-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B12_1.npy	PB000137	Segmentation masks	cell	B12	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B12-z1-PHAandWGA.ome.tiff
