panel,figure,source_data,figure_files,notebook,n_rows,caption,written_utc
Fig4c,Fig4,Fig4c_unsupervised_umap_kmeans_clusters_vs_pathway_hct116_mip.csv,Fig4c.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,252,"Unsupervised UMAP, KMeans clusters vs pathway, HCT116 MIP",2026-08-14T10:41:18Z
Fig4d,Fig4,Fig4d_unsupervised_umap_kmeans_clusters_vs_pathway_hct116_aggregates.csv,Fig4d.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,326,"Unsupervised UMAP, KMeans clusters vs pathway, HCT116 aggregates",2026-08-14T10:41:58Z
Fig4e,Fig4,Fig4e_pairwise_compound_similarity_clustermap_hct116_mip.csv,Fig4e.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,37,"Pairwise compound similarity clustermap, HCT116 MIP",2026-08-14T10:39:24Z
Fig4f,Fig4,Fig4f_pairwise_compound_similarity_clustermap_hct116_aggregates.csv,Fig4f.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,38,"Pairwise compound similarity clustermap, HCT116 aggregates",2026-08-14T10:39:38Z
Fig5a,Fig5,Fig5a_compounds_passing_grit_common_unique_to_2d_unique_to_3d.csv,Fig5a.pdf,analysis/3_Figure5/3_Fig5a_grit_overlap.ipynb,2,"Compounds passing grit: common, unique to 2D, unique to 3D",2026-08-14T10:28:26Z
Fig5b,Fig5,Fig5b_supervised_umap_coloured_by_pathway_hct116_2d.csv,Fig5b.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,1004,"Supervised UMAP coloured by pathway, HCT116 2D",2026-08-14T10:42:37Z
Fig5c,Fig5,Fig5c_pairwise_compound_similarity_clustermap_hct116_2d.csv,Fig5c.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,46,"Pairwise compound similarity clustermap, HCT116 2D",2026-08-14T10:39:52Z
Fig5d,Fig5,Fig5d_2d_minus_3d_pairwise_similarity_hct116.csv,Fig5d.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,630,"2D minus 3D pairwise similarity, HCT116",2026-08-14T10:39:54Z
Fig6b_damage,Fig6,Fig6b_damage_yh2ax_foci_per_nucleus_dna_damage_per_spheroid_by_treatment.csv,Fig6b_damage.pdf,analysis/3_Figure6/EdU/EdU_analysis.ipynb,47,"yH2AX foci per nucleus (DNA damage) per spheroid, by treatment",2026-08-14T10:29:05Z
Fig6b_size,Fig6,Fig6b_size_number_of_nuclei_per_spheroid_per_spheroid_by_treatment.csv,Fig6b_size.pdf,analysis/3_Figure6/EdU/EdU_analysis.ipynb,47,"Number of nuclei per spheroid per spheroid, by treatment",2026-08-14T10:29:03Z
Fig6b_sphase,Fig6,Fig6b_sphase_edu_fraction_per_spheroid_per_spheroid_by_treatment.csv,Fig6b_sphase.pdf,analysis/3_Figure6/EdU/EdU_analysis.ipynb,47,"EdU+ fraction per spheroid per spheroid, by treatment",2026-08-14T10:29:04Z
Fig6c,Fig6,Fig6c_hallmark_gsea_nes_olaparib_vs_5_fu.csv,Fig6c.pdf,analysis/3_Figure6/DEG/hallmark_nes_scatter.ipynb,50,"Hallmark GSEA NES, olaparib vs 5-FU",2026-08-14T10:28:47Z
Fig6d,Fig6,Fig6d_gene_set_signatures_hct116_spheroids.csv,Fig6d.pdf,analysis/3_Figure6/DEG/hallmark_nes_scatter.ipynb,45,Gene-set signatures — HCT116 spheroids,2026-08-14T10:28:50Z
Fig6e,Fig6,Fig6e_5_fu_and_its_top_10_hct116_neighbours_at_frozen_doses_hct116_vs_ht29.csv,Fig6e.pdf,analysis/3_Figure6/3_Fig6e_5fu_neighbours.ipynb,22,"5-FU and its top-10 HCT116 neighbours at frozen doses, HCT116 vs HT29",2026-08-14T10:28:37Z
SupplFig1d,SupplFig1,SupplFig1d_detected_cell_centroids_through_a_spheroid_ht29.csv,SupplFig1d.pdf,analysis/3_Figure2/CellDetectionSanityCheck/3_Plot_Spheroids.ipynb,970,"Detected cell centroids through a spheroid, HT29",2026-08-14T10:22:03Z
SupplFig2c,SupplFig2,SupplFig2c_mean_focus_normalized_variance_per_compound_and_z_slice.csv,SupplFig2c.pdf,analysis/3_SupplFigure2/focus_estimates.ipynb,320,Mean focus (normalized variance) per compound and z-slice,2026-08-14T10:31:21Z
SupplFig2d,SupplFig2,SupplFig2d_cellpose_vs_expert_annotation_iou_by_depth_and_treatment.csv,SupplFig2d.pdf,analysis/3_SupplFigure2/quantify_segmentation_error.ipynb,288,Cellpose vs expert-annotation IoU by depth and treatment,2026-08-14T10:38:46Z
SupplFig2e,SupplFig2,SupplFig2e_feature_correlation_vs_imaging_depth_by_compartment.csv,SupplFig2e.pdf,analysis/3_SupplFigure2/error_propegation.ipynb,423,"Feature correlation vs imaging depth, by compartment",2026-08-14T10:31:07Z
SupplFig3a,SupplFig3,SupplFig3a_z_plane_subsampling_v1_c_52.csv,SupplFig3a.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,21364,Z-plane subsampling — v1 (c=52),2026-08-14T10:33:40Z
SupplFig3b,SupplFig3,SupplFig3b_z_sampling_density_v1_14z_44z_cross_experiment_caveat_diff_plates.csv,SupplFig3b.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,6018,Z-sampling density — v1 / 14z / 44z (cross-experiment; caveat: diff plates),2026-08-14T10:33:44Z
SupplFig3c,SupplFig3,SupplFig3c_spheroid_size_seeding_density_v2.csv,SupplFig3c.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,6018,Spheroid size / seeding density — v2,2026-08-14T10:33:48Z
SupplFig3d,SupplFig3,SupplFig3d_clearing.csv,SupplFig3d.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,6018,Clearing,2026-08-14T10:33:53Z
SupplFig3e,SupplFig3,SupplFig3e_magnification.csv,SupplFig3e.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,6018,Magnification,2026-08-14T10:33:57Z
SupplFig3g,SupplFig3,SupplFig3g_channel_intensity_vs_imaging_depth_two_spheroid_sizes.csv,SupplFig3g.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,7870,"Channel intensity vs imaging depth, two spheroid sizes",2026-08-14T10:34:14Z
SupplFig3h,SupplFig3,SupplFig3h_cell_detection_vs_imaging_depth_by_clearing_condition.csv,SupplFig3h.pdf,analysis/3_SupplFigure3/3_Robustness_Combined_Final.ipynb,1546,Cell detection vs imaging depth by clearing condition,2026-08-14T10:34:16Z
SupplFig4a,SupplFig4,SupplFig4a_supervised_umap_coloured_by_pathway_ht29_mip.csv,SupplFig4a.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,639,"Supervised UMAP coloured by pathway, HT29 MIP",2026-08-14T10:43:23Z
SupplFig4b,SupplFig4,SupplFig4b_supervised_umap_coloured_by_pathway_ht29_aggregates.csv,SupplFig4b.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,691,"Supervised UMAP coloured by pathway, HT29 aggregates",2026-08-14T10:44:02Z
SupplFig4c,SupplFig4,SupplFig4c_unsupervised_umap_kmeans_clusters_vs_pathway_ht29_mip.csv,SupplFig4c.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,264,"Unsupervised UMAP, KMeans clusters vs pathway, HT29 MIP",2026-08-14T10:43:26Z
SupplFig4d,SupplFig4,SupplFig4d_unsupervised_umap_kmeans_clusters_vs_pathway_ht29_aggregates.csv,SupplFig4d.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,273,"Unsupervised UMAP, KMeans clusters vs pathway, HT29 aggregates",2026-08-14T10:44:05Z
SupplFig4e,SupplFig4,SupplFig4e_pairwise_compound_similarity_clustermap_ht29_mip.csv,SupplFig4e.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,32,"Pairwise compound similarity clustermap, HT29 MIP",2026-08-14T10:40:07Z
SupplFig4f,SupplFig4,SupplFig4f_pairwise_compound_similarity_clustermap_ht29_aggregates.csv,SupplFig4f.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,33,"Pairwise compound similarity clustermap, HT29 aggregates",2026-08-14T10:40:23Z
SupplFig5a,SupplFig5,SupplFig5a_supervised_umap_coloured_by_pathway_ht29_2d.csv,SupplFig5a.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,1025,"Supervised UMAP coloured by pathway, HT29 2D",2026-08-14T10:44:45Z
SupplFig5b,SupplFig5,SupplFig5b_pairwise_compound_similarity_clustermap_ht29_2d.csv,SupplFig5b.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,47,"Pairwise compound similarity clustermap, HT29 2D",2026-08-14T10:40:39Z
SupplFig5c,SupplFig5,SupplFig5c_2d_minus_3d_pairwise_similarity_ht29.csv,SupplFig5c.pdf,analysis/3_Figure4/3_PairwiseCorrelations.ipynb,528,"2D minus 3D pairwise similarity, HT29",2026-08-14T10:40:41Z
SupplFig5d,SupplFig5,SupplFig5d_dose_resolved_5_fu_vs_olaparib_similarity_2d_vs_3d.csv,SupplFig5d.pdf,analysis/3_SupplFigure5/S_dose_similarity_5FU_Olaparib.ipynb,41,"Dose-resolved 5-FU vs olaparib similarity, 2D vs 3D",2026-08-14T07:03:45Z
SupplFig5e,SupplFig5,SupplFig5e_drug_pair_similarity_2d_vs_3d_coloured_by_moa_pair_class.csv,SupplFig5e.pdf,analysis/3_SupplFigure5/3_SupplFig5e_moa_class.ipynb,630,"Drug-pair similarity 2D vs 3D, coloured by MoA pair class",2026-08-14T10:34:46Z
SupplFig6b,SupplFig6,SupplFig6b_gene_set_signatures_hct116_spheroids.csv,SupplFig6b.pdf,analysis/3_Figure6/DEG/hallmark_nes_scatter.ipynb,30,Gene-set signatures — HCT116 spheroids,2026-08-14T10:28:51Z
